Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
133,2025-10-22 18:52:49,9.912861354210989e-06,2.1632498257346864e-07,nan,nan,9.21634956685402e-06,5.259025538509246e-07,nan
134,2025-10-22 18:53:24,1.0040108288755789e-05,2.1342996214641507e-07,7.651163287825113e-06,4.373416455934176e-07,8.141936225225521e-06,4.2279460697219527e-07,5439125610.627636
135,2025-10-22 18:53:59,1.0314111315024022e-05,2.495930212625992e-07,nan,nan,1.060846031619711e-05,6.416605567729374e-07,nan
136,2025-10-22 18:54:34,1.2078998374409622e-05,3.465106017211175e-07,9.175441274322793e-06,5.896700484949583e-07,1.2251143070463044e-05,8.201470736231327e-07,5439118832.740852
137,2025-10-22 18:55:09,1.3437427148321746e-05,5.059892374900185e-07,1.0071599307881485e-05,6.454467531668003e-07,1.255825707491276e-05,7.79913262445567e-07,5439122706.140775
138,2025-10-22 18:55:44,1.3715302174199806e-05,4.5176381745022236e-07,1.007968427479966e-05,5.122748542505849e-07,1.1437848797202221e-05,7.099855829790117e-07,5439124369.632308
139,2025-10-22 18:56:19,1.0428435376574896e-05,2.4553642912826295e-07,8.067947528278552e-06,5.455012937957167e-07,9.4477558147954e-06,4.495177916674496e-07,5439120820.38498
140,2025-10-22 18:56:53,1.0717751421251975e-05,2.5597033246388074e-07,9.06412319556793e-06,5.116156483340615e-07,1.0709034894196279e-05,4.5311688742866496e-07,5439122331.912075
141,2025-10-22 18:57:28,1.2495046708194124e-05,2.8489390666355046e-07,1.0163938241714021e-05,6.345400377031262e-07,1.227482041721295e-05,6.896710734713833e-07,5439122084.625937
142,2025-10-22 18:58:03,1.3336245634709698e-05,3.3786271200617945e-07,1.0076981882711777e-05,5.80833231467307e-07,1.2288772808011217e-05,6.491785829071588e-07,5439121987.255357
143,2025-10-22 18:58:38,1.3375608539423212e-05,3.517350547460881e-07,1.0032994981479249e-05,5.628341905676339e-07,1.3548048413358771e-05,6.598571504184188e-07,5439121214.266437
144,2025-10-22 18:59:13,1.1657106498086378e-05,2.967274201646461e-07,9.668253706740515e-06,5.371159314010287e-07,1.104575768517968e-05,6.213364372917182e-07,5439123678.626372
145,2025-10-22 18:59:48,1.3075475542523307e-05,3.9321651284583934e-07,1.0427864782558416e-05,5.188132207327284e-07,1.2191697332575302e-05,8.452309294232372e-07,5439124116.844585
146,2025-10-22 19:00:22,1.3778556061216918e-05,4.400871026855767e-07,1.057572510210214e-05,5.930791751460584e-07,1.1728345093775516e-05,7.087868538304816e-07,5439122831.671132
147,2025-10-22 19:00:57,1.310657390507508e-05,4.6896753258989555e-07,1.099082769884241e-05,5.674940339833352e-07,1.2196464203251267e-05,5.269838007200634e-07,5439125569.043945
148,2025-10-22 19:01:32,1.307350745571867e-05,4.5647451141747804e-07,1.031054341282811e-05,6.238792803997192e-07,1.1958025518454818e-05,5.919292880514743e-07,5439120912.036964
149,2025-10-22 19:02:06,1.3082155470689472e-05,3.4192766981510744e-07,1.0137312052016512e-05,6.210590500755541e-07,1.2924816406245654e-05,7.152995334476521e-07,5439123184.51718
